area_name,sub_area_name,lat,lon,Count,,,
Banff National Park,Black Feather Canyon,51.27566259,-115.5102543,1,,,
Banff National Park,Black Feather Canyon,51.260646,-115.4958457,4,,,
Banff National Park,Buffalo Crag,0,0,1,,,51.43044095
Banff National Park,Carrot Creek,51.161,-115.405,10,,,
Banff National Park,Cascade Mountain,51.2265051,-115.5615477,1,,,
Banff National Park,Castle Mountain,51.3025396,-115.931984,1,,,
Banff National Park,Cathedral Boulders,51.43044095,-116.4020995,4,,,
Banff National Park,Coral Crag,51.28639222,-115.5235211,0,,,
Banff National Park,Corral Creek Boulders,51.40010834,-116.1383693,4,,,
Banff National Park,Guides Rock,51.177,-115.697,1,,,
Banff National Park,Lake Louise,51.40809391,-116.2405872,2,,,
Banff National Park,Lake Louise,51.406131,-116.240714,14,,,
Banff National Park,Mt Andromache,51.6109,-116.29464,1,,,
Banff National Park,Mt. Bourgeau,51.13141377,-115.7750358,1,,,
Banff National Park,Mt. Cory,51.183926,-115.696575,1,,,
Banff National Park,Mt. Cory,51.18311089,-115.7014944,10,,,
Banff National Park,Mt. Edith,51.206,-115.6716,1,,,
Banff National Park,Mt. Louis,51.21545,-115.68002,1,,,
Banff National Park,Mt. Norquay,51.1903977,-115.6323789,1,,,
Banff National Park,Mt. Rundle,51.11831516,-115.4713835,2,,,
Banff National Park,Mt. Temple,51.34966433,-116.203798,1,,,
Banff National Park,Mt. Wilson,51.99872,-116.7422,1,,,
Banff National Park,NoSeeUm Creek Boulders,51.62686238,-116.3150886,1,,,
Banff National Park,Raven's Crag,51.16341382,-115.5883602,1,,,
Banff National Park,Raven's Crag,51.16128018,-115.589405,3,,,
Banff National Park,Rockbound Lake,51.31044262,-115.9311676,1,,,
Banff National Park,Saddleback Crag,51.39424359,-116.2091195,1,,,
Banff National Park,Silver City,51.287,-115.915,1,,,
Banff National Park,Spray Slabs,51.15783932,-115.5501947,1,,,
Banff National Park,Stanley Headwall,51.19831,-116.04256,1,,,
Banff National Park,Sugarcube,51.6852472,-116.4148251,1,,,
Banff National Park,Sunshine Rock,51.15473,-115.68579,1,,,
Banff National Park,The Patio,51.17604408,-115.5536742,1,,,
Banff National Park,Tunnel Mountain,51.17603465,-115.5752866,1,,,
Banff National Park,Tunnel Mountain,51.1775,-115.5528,5,,,
Banff National Park,Tunnel Mountain,51.1693173,-115.5491678,1,,,
Banff National Park,Wonder Valley Boulders,51.41802972,-116.2738171,1,,,
Bow Valley,Acephale,51.06184942,-115.1181711,4,,,
Bow Valley,Bataan,51.082733,-115.281156,1,,,
Bow Valley,Bonsai Boulders,51.062043,-115.043354,6,,,
Bow Valley,Cougar Canyon,51.08691949,-115.3245163,1,,,
Bow Valley,Cougar Canyon,51.10449417,-115.3017359,16,,,
Bow Valley,Dacsawia,51.06703789,-115.4136199,1,,,
Bow Valley,Echo Canyon,51.08713514,-115.2857208,1,,,
Bow Valley,Echo Canyon,51.10524653,-115.2767944,1,,,
Bow Valley,Echo Canyon,51.08762697,-115.2857132,17,,,
Bow Valley,EEOR,51.07208922,-115.413775,1,,,
Bow Valley,EEOR,51.07481609,-115.418229,1,,,
Bow Valley,Expressions Wall,51.01743303,-115.4293573,1,,,
Bow Valley,Goat Wall,51.11271024,-115.136409,3,,,
Bow Valley,Grassi Lakes,51.07208922,-115.413775,1,,,
Bow Valley,Grassi Lakes,51.07142013,-115.4085398,9,,,
Bow Valley,Grassi Lakes,51.071279,-115.409306,1,,,
Bow Valley,Grotto Canyon,51.06556472,-115.2191162,1,,,
Bow Valley,Grotto Canyon,51.07041645,-115.2236749,12,,,
Bow Valley,Grotto Mountain,51.07451518,-115.2699684,1,,,
Bow Valley,Ha Ling Peak,51.0643772,-115.3996805,1,,,
Bow Valley,Heart Creek,51.04147507,-115.1466658,8,,,
Bow Valley,Heart Creek,51.05067526,-115.1550865,1,,,
Bow Valley,Jura Creek,51.07376282,-115.1441006,1,,,
Bow Valley,Jura Creek,51.07376282,-115.1441006,1,,,
Bow Valley,Lost World,51.07376282,-115.1441006,1,,,
Bow Valley,Mt. McGillivray,51.04282421,-115.2042152,7,,,
Bow Valley,Old Goat Boulders,50.96648163,-115.3739981,1,,,
Bow Valley,Old Goat Crag,51.06431392,-115.4191754,3,,,
Bow Valley,Ships Prow,51.04666,-115.37891,1,,,
Bow Valley,Steve Canyon,51.07241193,-115.2108276,2,,,
Bow Valley,Stoneworks Canyon,51.12065718,-115.3421974,1,,,
Bow Valley,Stoneworks Canyon,51.12572324,-115.3350382,7,,,
Bow Valley,The Apocalypse Cave,51.07397589,-115.2709984,3,,,
Calgary,Bearspaw Bluffs,51.10228235,-114.2915869,5,,,
Calgary,Big Hill Springs,51.25087049,-114.3844771,1,,,
Calgary,Buffalo Rubbing Stone,51.15187,-114.0702,1,,,
Calgary,Prairie Creek,50.86902815,-114.8064423,1,,,
Calgary,Prairie Creek,50.86902815,-114.8064423,7,,,
Calgary,Prince's Island Park,51.05381824,-114.0764526,1,,,
Calgary,Tuscany,51.12360539,-114.2447302,1,,,
Cougar Canyon,Planet X,51.11241366,-115.2785969,1,,,
Drywood,Lower Tier,49.269884,-114.039685,1,,,
Drywood,Upper Tier,49.295165,-114.08084,1,,,
Frank Slide,Albatross,49.5895862884013,-114.394545781233,1,,,
Frank Slide,City of Giants,49.59504712,-114.3936411,1,,,
Frank Slide,Commodore,49.5970961961091,-114.395584068409,1,,,
Frank Slide,Frictionary,49.59542032,-114.3950418,1,,,
Frank Slide,Graveyard,49.58894724,-114.3814743,1,,,
Frank Slide,Gunwales,49.59363576,-114.3973754,1,,,
Frank Slide,Healing,49.58787387,-114.3886038,1,,,
Frank Slide,Heart of Frank,49.59660203,-114.3935571,1,,,
Frank Slide,House,49.59757084,-114.3975505,1,,,
Frank Slide,Hulkamaniac,49.59192017,-114.3933379,1,,,
Frank Slide,Interpretive Center,49.60026,-114.393969,1,,,
Frank Slide,Karst Valley,49.59418043,-114.3919694,1,,,
Frank Slide,Lipsmacker,49.58977085,-114.3893266,1,,,
Frank Slide,Olympus,49.5856,-114.398151,1,,,
Frank Slide,Riverside,49.58872441,-114.3958699,1,,,
Frank Slide,Shadowcaster,49.586536,-114.406987,1,,,
Frank Slide,Snakebite,49.58809714,-114.393028,1,,,
Frank Slide,Spiderweb,49.59149207,-114.3846626,1,,,
Frank Slide,The Cobbles,49.58489712,-114.3731689,1,,,
Frank Slide,The Farm,49.5904645928419,-114.379505536062,1,,,
Frank Slide,The Pilgrimage,49.588332,-114.401125,1,,,
Frank Slide,The Prow,49.58898485,-114.3919557,1,,,
Frank Slide,The Ridge,49.59619615,-114.3923926,1,,,
Frank Slide,The Vale,49.584897,-114.373169,1,,,
Frank Slide,Townsite,49.60013,-114.404143,1,,,
Frank Slide,Wastelands,49.59100768,-114.3951247,1,,,
Frank Slide,Wind War,49.588049,-114.398601,1,,,
Frank Slide,Zombotron,49.58556486,-114.393425,1,,,
Frank Slide,,49.59660203,-114.3935571,1,,,
Ghost River Valley,North Ghost,51.28266975,-115.2402036,1,,,
Ghost River Valley,Silver Tongue Devil,51.28267,-115.240204,1,,,
Ghost River Valley,,51.28267,-115.240204,1,,,
Glenwood Erratic,,49.40838077,-113.4760343,1,,,
Jasper National Park,Big Rock,52.879856,-117.823449,1,,,
Jasper National Park,Boulder Gardens,52.92684229,-118.015804,1,,,
Jasper National Park,Crag of the Gods,52.697941,-117.896727,1,,,
Jasper National Park,Dune Wall,52.64906851,-118.1069541,1,,,
Jasper National Park,Edith Cavell,52.66007242,-118.0482524,1,,,
Jasper National Park,Eureka,52.689069,-117.944163,1,,,
Jasper National Park,Hidden Valley,53.18587627,-117.7782444,1,,,
Jasper National Park,Hidden Valley,53.17500495,-117.9588168,1,,,
Jasper National Park,Juno Wall,53.15788838,-117.9464725,1,,,
Jasper National Park,Kerkeslin Crag,52.64400119,-117.8651301,1,,,
Jasper National Park,Lost Boys,52.87078779,-118.0810551,1,,,
Jasper National Park,Love Den,52.767039,-117.699499,1,,,
Jasper National Park,Medicine Lake,52.87351284,-117.8031844,1,,,
Jasper National Park,Merlin Wall,53.057738,-118.066781,1,,,
Jasper National Park,Morro Bluffs,53.03686021,-118.081898,1,,,
Jasper National Park,Morro Peak,53.04088561,-118.0879062,1,,,
Jasper National Park,Rainy Day Slabs,52.88184,-117.81623,1,,,
Jasper National Park,Roadside Attraction,52.86066591,-118.1081423,1,,,
Jasper National Park,Rock Gardens,52.92642114,-118.014509,1,,,
Jasper National Park,Shredder Reef,53.183023,-117.958701,1,,,
Jasper National Park,Syncline Ridge,53.171583,-117.963851,1,,,
Jasper National Park,The Suburbs,52.87949062,-118.0831146,1,,,
Jasper National Park,The Watchtower,52.86004404,-117.7938502,1,,,
Jasper National Park,Tonquin,52.773651,-118.032968,1,,,
Jasper National Park,Two Gap Canyon,52.89242,-117.858883,1,,,
Jasper National Park,Weeping Wall,52.15405198,-117.0020452,1,,,
Jasper National Park,West Highway,52.86667669,-118.249248,1,,,
Jasper National Park,White Rabbit Boulders,52.87087472,-118.060912,1,,,
Jasper National Park,Windy Point,53.01024912,-118.1038803,1,,,
Jasper National Park,Youth Lagoon,52.57608264,-117.7193215,1,,,
Jasper National Park,,52.879491,-118.083115,1,,,
Kananaskis,Baldy Rock,51.00402329,-115.0630941,1,,,
Kananaskis,Barrier Lake Buttress,50.78293,-114.93454,1,,,
Kananaskis,Barrier Mountain,51.01685965,-115.0613598,1,,,
Kananaskis,Barrier Mountain,51.01852059,-115.0580876,5,,,
Kananaskis,Black Prince,50.70489156,-115.2228451,1,,,
Kananaskis,Cowbell Crag,50.4268987,-114.7111241,1,,,
Kananaskis,Delta Wall,50.941978,-115.1011193,1,,,
Kananaskis,Moose Mountain,50.89680772,-114.7816372,1,,,
Kananaskis,Moose Mountain,50.89680772,-114.7816372,10,,,
Kananaskis,Mount Indefatigable,50.66992644,-115.1961591,1,,,
Kananaskis,Mt. Kidd,51.03617,-115.08723,1,,,
Kananaskis,Porcupine Creek,50.970741,-115.0750982,5,,,
Kananaskis,The Nest,50.93171189,-115.1152615,1,,,
Kananaskis,Unicorn Canyon,50.97377765,-115.1342775,5,,,
Kananaskis,Wasootch Slabs,50.9664353,-115.0912946,3,,,
Mt. Sentry,,49.62089783,-114.6556805,1,,,
Nordegg Area,Abraham Slabs,52.25946174,-116.4561047,1,,,
Nordegg Area,Freyja,52.09856878,-116.4354195,1,,,
Nordegg Area,Hidden Quartzite,52.012832,-116.459521,1,,,
Nordegg Area,Hoodoo Creek,52.23095371,-116.4588547,1,,,
Nordegg Area,Hoodoo Creek,52.23095371,-116.4588547,4,,,
Nordegg Area,Kootenay Plains,52.05982654,-116.4226345,1,,,
Nordegg Area,Little Russia,52.11736369,-116.4452938,1,,,
Nordegg Area,Solar Panel,52.11907456,-116.4475217,1,,,
Nordegg Area,The Dark Side,52.49861545,-116.0160542,1,,,
Okotoks,Big Rock,50.70598211,-114.0762239,1,,,
Porcupine Hills,The Beach,49.98901995,-114.1141964,1,,,
Porcupine Hills,,49.98901995,-114.1141964,1,,,
Prairie Creek,The Balcony,50.86902815,-114.8064423,1,,,
Rocky Mountain House Boulders,,52.38823589,-114.9239587,1,,,
Secret Garden,,52.47413909,-116.1038088,1,,,
The Citadel,,51.183926,-115.696575,1,,,
The Summer House,,0,0,1,,,
White Buddha,,50.86534463,-114.8160553,1,,,
White Buddha,,50.86534463,-114.8160553,1,,,
Yamnuska,Big Choss,51.11679239,-115.1088719,1,,,
Yamnuska,CMC Valley,51.09330868,-115.1578062,1,,,
Yamnuska,,51.05508417,-115.140238,1,,,
